CustomerKey,GeographyKey,Name,BirthDate,MaritalStatus,Gender,EmailAddress,NumberChildrenAtHome,AddressLine1,DateFirstPurchase,CommuteDistance,Currency,Income
11064,315,Chase Reed,5/06/1981,M,M,chase21@adventure-works.com,0,2721 Alexander Pl.,25/01/2013,5-10,USD,40000
11065,331,Jessica Henderson,8/04/1979,M,F,jessica29@adventure-works.com,0,9343 Ironwood Way,10/02/2013,1-2,USD,60000
11066,543,Grace Butler,27/05/1979,M,F,grace62@adventure-works.com,0,4739 Garden Ave.,31/05/2013,5-10,USD,70000
11067,632,Caleb Carter,25/03/1982,S,M,caleb40@adventure-works.com,0,9563 Pennsylvania Blvd.,18/08/2013,5-10,USD,60000
11068,40,Tiffany Liang,19/09/1966,S,F,tiffany17@adventure-works.com,0,3608 Sinclair Avenue,30/04/2013,5-10,USD,80000
11069,23,Carolyn Navarro,17/09/1966,S,F,carolyn30@adventure-works.com,0,4606 Springwood Court,17/04/2011,1-2,USD,80000
11070,39,Willie Raji,2/10/1960,M,M,willie40@adventure-works.com,0,6260 Vernal Drive,28/04/2011,5-10,USD,80000
11071,24,Linda Serrano,23/12/1960,S,F,linda31@adventure-works.com,0,9808 Shaw Rd.,1/03/2013,5-10,USD,80000
11072,17,Casey Luo,5/08/1960,S,F,casey6@adventure-works.com,0,9513 Roslyn Drive,31/03/2011,1-2,USD,80000
11073,16,Amy Ye,11/02/1962,S,F,amy16@adventure-works.com,0,2262 Kirkwood Ct.,23/03/2013,5-10,USD,70000
11074,28,Levi Arun,25/02/1962,S,M,levi6@adventure-works.com,0,4661 Bluetail,23/03/2013,5-10,USD,70000
11075,32,Felicia Jimenez,16/05/1963,S,F,felicia4@adventure-works.com,0,786 Eastgate Ave,28/04/2011,5-10,USD,80000
11076,19,Blake Anderson,10/01/1963,S,M,blake9@adventure-works.com,0,5436 Clear,21/04/2011,5-10,USD,80000
11077,36,Leah Ye,19/03/1963,S,F,leah7@adventure-works.com,0,1291 Arguello Blvd.,15/04/2011,1-2,USD,80000
11078,49,Gina Martin,6/01/1985,S,F,gina1@adventure-works.com,0,1349 Sol St.,15/02/2013,1-2,USD,40000
11079,34,Donald Gonzalez,7/03/1970,S,M,donald20@adventure-works.com,0,4236 Malibu Place,15/03/2013,0-1,USD,160000
11080,30,Damien Chander,13/01/1965,M,M,damien32@adventure-works.com,0,9941 Stonehedge Dr.,10/04/2011,0-1,USD,170000
11081,311,Savannah Baker,21/01/1972,M,F,savannah39@adventure-works.com,2,1210 Trafalgar Circle,12/02/2013,2-5,USD,120000
11082,322,Angela Butler,1/02/1972,S,F,angela17@adventure-works.com,1,6040 Listing Ct,22/01/2013,1-2,USD,130000
11083,336,Alyssa Cox,11/03/1977,M,F,alyssa37@adventure-works.com,1,867 La Orinda Place,6/01/2013,1-2,USD,130000
11084,543,Lucas Phillips,12/03/1963,S,M,lucas7@adventure-works.com,0,8668 St. Celestine Court,4/01/2013,1-2,USD,80000
11085,345,Emily Johnson,16/01/1963,S,F,emily1@adventure-works.com,0,7926 Stephanie Way,6/12/2013,5-10,USD,60000
11086,369,Ryan Brown,22/06/1963,M,M,ryan43@adventure-works.com,1,2939 Wesley Ct.,2/07/2013,0-1,USD,70000
11087,307,Tamara Liang,2/04/1963,M,F,tamara6@adventure-works.com,2,3791 Rossmor Parkway,25/02/2013,0-1,USD,70000
11088,359,Hunter Davis,25/05/1963,M,M,hunter64@adventure-works.com,1,4308 Sand Pointe Lane,13/01/2013,2-5,USD,80000
11089,337,Abigail Price,5/08/1962,S,F,abigail25@adventure-works.com,1,2685 Blackburn Ct,29/12/2012,2-5,USD,80000
11090,338,Trevor Bryant,13/12/1968,S,M,trevor18@adventure-works.com,0,5781 Sharon Dr.,7/08/2011,2-5,USD,90000
11091,50,Dalton Perez,2/10/1962,M,M,dalton37@adventure-works.com,0,6083 San Jose,29/01/2013,5-10,USD,90000
11092,22,Cheryl Diaz,2/11/1972,M,F,cheryl4@adventure-works.com,2,7297 Kaywood Drive,8/04/2011,1-2,USD,90000
11093,19,Aimee He,6/09/1978,M,F,aimee13@adventure-works.com,0,1833 Olympic Drive,7/04/2011,0-1,USD,100000
11094,33,Cedric Ma,29/09/1967,S,M,cedric15@adventure-works.com,0,3407 Oak Brook Place,7/04/2013,0-1,USD,70000
11095,13,Chad Kumar,29/02/1968,S,M,chad9@adventure-works.com,0,1681 Lighthouse Way,1/04/2011,5-10,USD,70000
11096,12,Andrés Anand,7/02/1968,M,M,andrés18@adventure-works.com,0,5423 Los Gatos Ct.,11/04/2011,5-10,USD,60000
11097,40,Edwin Nara,23/10/1972,M,M,edwin39@adventure-works.com,0,719 William Way,4/04/2011,5-10,USD,60000
11098,14,Mallory Rubio,29/10/1966,S,F,mallory7@adventure-works.com,0,6452 Harris Circle,11/02/2013,0-1,USD,60000
11099,13,Adam Ross,5/09/1966,M,M,adam2@adventure-works.com,0,4378 Westminster Place,7/04/2011,0-1,USD,60000
11100,28,Latasha Navarro,15/03/1966,S,F,latasha10@adventure-works.com,0,6954 Ranch Road,16/04/2011,5-10,USD,60000
11101,33,Abby Sai,5/11/1970,S,F,abby4@adventure-works.com,0,7074 N. Spoonwood Court,29/04/2011,0-1,USD,70000
11102,18,Julia Nelson,19/10/1970,S,F,julia7@adventure-works.com,5,2196 Coat Ct.,16/07/2013,1-2,USD,80000
11103,3,Cassie Chande,12/04/1981,S,F,cassie13@adventure-works.com,0,9448 San Marino Ct.,15/04/2011,5-10,USD,70000
11104,23,Edgar Sara,8/03/1975,M,M,edgar11@adventure-works.com,0,6127 Lilly Lane,4/05/2011,0-1,USD,70000
11105,8,Candace Fernandez,27/06/1970,S,F,candace15@adventure-works.com,0,5029 Blue Ridge,14/05/2011,5-10,USD,70000
11106,40,Jessie Liu,11/03/1970,S,M,jessie9@adventure-works.com,0,3063 Blue Jay Drive,18/05/2011,5-10,USD,70000
11107,17,Bianca Lin,4/03/1976,M,F,bianca7@adventure-works.com,0,7530 Eola,1/05/2011,5-10,USD,90000
11108,13,Kari Alvarez,10/01/1969,S,F,kari25@adventure-works.com,0,9178 Thornhill Place,3/05/2011,0-1,USD,70000
11109,38,Ruben Kapoor,30/04/1980,S,M,ruben1@adventure-works.com,0,1984 Glendale Circle,10/05/2011,0-1,USD,70000
11110,3,Curtis Yang,4/12/1967,M,M,curtis5@adventure-works.com,0,4052 Mt. Wilson Way,1/05/2011,5-10,USD,60000
11111,34,Meredith Gutierrez,23/08/1967,M,F,meredith34@adventure-works.com,0,7610 Northridge Ct.,20/05/2011,0-1,USD,60000
11112,25,Crystal Wang,8/03/1968,M,F,crystal3@adventure-works.com,0,2773 Kirkwood Dr,25/05/2011,0-1,USD,60000
11113,30,Micheal Blanco,17/02/1973,M,M,micheal11@adventure-works.com,4,596 Marfargoa Drive,1/02/2013,5-10,USD,70000
11114,14,Leslie Moreno,25/11/1967,S,F,leslie7@adventure-works.com,4,7941 Cristobal,18/03/2013,5-10,USD,70000
11115,17,Alvin Cai,12/08/1967,M,M,alvin20@adventure-works.com,4,7759 Azalea Avenue,10/02/2013,0-1,USD,70000
11116,18,Clinton Carlson,2/04/1979,M,M,clinton14@adventure-works.com,4,7943 Cunha Ct.,15/03/2013,5-10,USD,70000
11117,8,April Deng,21/08/1966,M,F,april1@adventure-works.com,4,485 Ash Lane,6/05/2011,10+,USD,70000
11118,6,Alvin Zeng,31/12/1962,S,M,alvin21@adventure-works.com,0,3853 Wildcat Circle,10/07/2013,0-1,USD,80000
11119,13,Evan James,7/10/1940,S,M,evan8@adventure-works.com,0,4157 Sierra Ridge,3/02/2013,0-1,USD,30000
11120,18,Beth Jiménez,6/02/1942,S,F,beth8@adventure-works.com,0,7401 Las Palmas,14/05/2011,5-10,USD,40000
11121,10,Orlando Suarez,18/05/1966,M,M,orlando19@adventure-works.com,4,7743 Hames Dr,24/06/2013,10+,USD,70000
11122,12,Byron Vazquez,30/09/1965,M,M,byron9@adventure-works.com,4,3187 Hackamore Lane,21/02/2013,5-10,USD,70000
11123,39,Philip Alvarez,18/12/1965,M,M,philip4@adventure-works.com,4,2775 Mt. Olivet Pl.,17/04/2013,10+,USD,70000
11124,40,Ross Jordan,23/07/1968,S,M,ross1@adventure-works.com,0,6973 Dublin Court,5/05/2011,5-10,USD,80000
11125,37,Dana Navarro,6/10/1961,S,F,dana2@adventure-works.com,0,8481 Zartop Street,31/01/2013,5-10,USD,70000
11126,11,Shaun Carson,5/10/1954,M,M,shaun16@adventure-works.com,1,57 Wolf Way,28/05/2011,0-1,USD,10000
11127,361,Jan Edwards,19/04/1981,M,F,jan11@adventure-works.com,0,9409 The Alameda,10/04/2013,5-10,USD,40000
11128,635,Samantha Long,3/06/1981,M,F,samantha35@adventure-works.com,0,1606 Alderwood Lane,19/06/2013,5-10,USD,40000
11129,638,Julia Wright,1/02/1981,S,F,julia17@adventure-works.com,0,7397 Central Blvd.,6/08/2011,5-10,USD,40000
11130,543,Caroline Russell,5/07/1985,M,F,caroline21@adventure-works.com,0,3884 Bates Court,9/12/2013,5-10,USD,30000
11131,50,Amanda Rivera,9/09/1985,M,F,amanda7@adventure-works.com,0,9573 Royal Oak Rd.,18/10/2013,0-1,USD,30000
11132,51,Melissa Richardson,25/04/1986,S,F,melissa31@adventure-works.com,0,6832 Fruitwood Dr,9/04/2013,5-10,USD,30000
11133,542,Angela Griffin,8/03/1986,S,F,angela23@adventure-works.com,0,3828 Baltic Sea Ct,30/12/2013,0-1,USD,30000
11134,30,Larry Townsend,22/02/1957,S,M,larry14@adventure-works.com,0,7034 Carson,3/05/2011,5-10,USD,10000
11135,302,Marcus Harris,2/05/1985,S,M,marcus14@adventure-works.com,0,9068 Quiet Place Drive,18/04/2013,5-10,USD,30000
11136,53,Brianna Morgan,24/04/1984,S,F,brianna30@adventure-works.com,0,9005 Eagle Ct.,3/01/2013,0-1,USD,40000
11137,641,Jasmine Taylor,17/01/1984,M,F,jasmine7@adventure-works.com,0,2457 Matterhorn Court,31/07/2013,5-10,USD,40000
11138,325,Lauren Davis,14/03/1984,M,F,lauren23@adventure-works.com,0,8105 Pembrook Court,19/09/2013,0-1,USD,40000
11139,28,Tanya Moreno,5/11/1949,S,F,tanya2@adventure-works.com,0,6155 Wilbur Drive,14/09/2013,5-10,USD,30000
11140,301,Javier Alvarez,11/08/1982,S,M,javier1@adventure-works.com,0,8935 Etcheverry Dr.,19/03/2013,5-10,USD,30000
11141,314,Nicole Ramirez,19/12/1982,M,F,nicole42@adventure-works.com,0,1101 C Street,16/05/2013,0-1,USD,40000
11142,51,Eduardo Patterson,11/02/1983,S,M,eduardo55@adventure-works.com,0,6255 Macalvey Dr.,13/02/2013,0-1,USD,40000
11143,334,Jonathan Henderson,4/08/1982,M,M,jonathan4@adventure-works.com,0,165 East Lane Road,15/06/2013,5-10,USD,40000
11144,607,Edward Hernandez,8/03/1985,S,M,edward48@adventure-works.com,0,7607 Pine Hollow Road,25/01/2013,0-1,USD,40000
11145,536,Jasmine Coleman,6/06/1985,S,F,jasmine46@adventure-works.com,0,1961 Oak Grove Road,25/01/2013,0-1,USD,40000
11146,8,Karla Goel,22/02/1945,S,F,karla20@adventure-works.com,0,3272 Corrie Lane,5/02/2013,5-10,USD,40000
11147,40,Ernest Wu,4/08/1944,M,M,ernest6@adventure-works.com,0,1832 RiverRock Dr,13/05/2011,0-1,USD,60000
11148,22,Ross Vazquez,13/02/1947,M,M,ross32@adventure-works.com,0,1201 Paso Del Rio Way,7/03/2013,5-10,USD,40000
11149,25,Theodore Gill,18/10/1946,M,M,theodore14@adventure-works.com,0,9120 Pinewood Court,4/06/2013,0-1,USD,40000
11150,39,Russell Shen,12/09/1946,S,M,russell6@adventure-works.com,0,4755 Easley Drive,27/03/2013,5-10,USD,40000
11151,18,Melinda Gill,25/08/1947,S,F,melinda9@adventure-works.com,0,805 Rainier Dr.,15/05/2011,0-1,USD,60000
11152,633,James Williams,9/07/1981,S,M,james77@adventure-works.com,0,6827 Seagull Court,9/01/2013,5-10,USD,40000
11153,635,Angela James,21/12/1981,M,F,angela34@adventure-works.com,0,8877 Weatherly Drive,29/03/2013,5-10,USD,40000
11154,553,Megan Walker,18/02/1982,S,F,megan25@adventure-works.com,0,6898 Holiday Hills,10/01/2013,5-10,USD,40000
11155,301,Hunter Robinson,25/07/1981,S,M,hunter50@adventure-works.com,0,8356 Mori Court,6/01/2013,1-2,USD,40000
11156,334,Maria Roberts,6/08/1981,S,F,maria47@adventure-works.com,0,9452 Mariposa Ct.,8/01/2013,1-2,USD,40000
11157,642,Hannah Long,8/12/1980,M,F,hannah32@adventure-works.com,0,1832 Preston Ct.,24/07/2013,5-10,USD,40000
11158,361,Jason Wright,6/04/1981,S,M,jason46@adventure-works.com,0,6771 Bundros Court,19/01/2013,5-10,USD,40000
11159,385,Brianna Hughes,16/03/1981,S,F,brianna57@adventure-works.com,0,6793 Bonifacio St.,8/09/2013,1-2,USD,40000
11160,311,Maurice Tang,8/07/1979,S,M,maurice4@adventure-works.com,0,2886 Chaparral Court,21/02/2013,5-10,USD,40000
11161,311,Emily Wood,20/10/1979,S,F,emily27@adventure-works.com,0,1562 Black Walnut,1/06/2013,1-2,USD,40000
11162,331,Chase Cox,2/09/1979,S,M,chase10@adventure-works.com,0,P.O. Box 8070,18/02/2013,5-10,USD,40000
11163,372,Gabriel Wang,18/06/1980,M,M,gabriel21@adventure-works.com,0,8002 Crane Court,1/05/2013,5-10,USD,40000
11164,374,Devin Brooks,2/11/1979,S,M,devin63@adventure-works.com,0,4231 Highland Dr.,27/04/2013,1-2,USD,40000
11165,348,Jocelyn Alexander,15/01/1979,M,F,jocelyn18@adventure-works.com,0,3376 Bank Way,25/05/2013,1-2,USD,60000
11166,631,Ashley Martinez,22/10/1977,S,F,ashley18@adventure-works.com,0,6993 Whyte Park Ave.,14/10/2013,0-1,USD,70000
11167,618,Jasmine Barnes,29/01/1978,S,F,jasmine43@adventure-works.com,0,9183 Via Del Sol,7/01/2013,0-1,USD,80000
11168,348,David Rodriguez,12/11/1973,S,M,david83@adventure-works.com,0,38 Shangri-la Rd.,15/01/2013,0-1,USD,80000
11169,312,Bryce Richardson,20/12/1973,M,M,bryce8@adventure-works.com,4,1841 Blackwood Drive,26/05/2013,0-1,USD,90000
11170,612,Carol Howard,4/08/1973,M,F,carol5@adventure-works.com,4,6281 Edward Ave,26/08/2013,0-1,USD,90000
11171,385,Jonathan Hill,5/10/1978,S,M,jonathan43@adventure-works.com,0,3731 Chinquapin Ct,20/08/2011,1-2,USD,100000
11172,626,Gabrielle Adams,20/05/1973,M,F,gabrielle58@adventure-works.com,0,5621 Arcadia Pl.,3/05/2013,1-2,USD,100000
11173,552,Sarah Thomas,28/02/1973,S,F,sarah13@adventure-works.com,0,5636 Mt. Whitney Dr.,2/03/2013,0-1,USD,110000
11174,338,Nicholas Robinson,9/01/1973,M,M,nicholas19@adventure-works.com,1,1318 Lasalle Street,13/07/2013,2-5,USD,110000
11175,300,Luis Wang,1/09/1968,S,M,luis24@adventure-works.com,0,6943 Patterson Blvd.,28/08/2011,5-10,USD,70000
11176,50,Mason Roberts,21/01/1979,M,M,mason25@adventure-works.com,4,5753 Megan Dr.,2/02/2013,1-2,USD,90000
11177,359,Jose Flores,1/01/1948,M,M,jose6@adventure-works.com,4,3991 Rambling Rose Drive,29/03/2013,5-10,USD,110000
11178,334,Nathan Johnson,20/08/1954,M,M,nathan55@adventure-works.com,3,8927 Daylight Place,21/02/2013,1-2,USD,100000
11179,300,Molly Rodriguez,8/12/1959,M,F,molly18@adventure-works.com,4,5556 Riverland Dr.,12/03/2013,5-10,USD,120000
11180,307,April Anand,1/07/1948,M,F,april18@adventure-works.com,3,3531 Brookview Drive,17/03/2013,0-1,USD,160000
11181,338,Devin Martin,1/02/1960,M,M,devin13@adventure-works.com,3,1085 Greenbelt Way,7/05/2013,0-1,USD,170000
11182,638,Stephanie Torres,22/02/1950,S,F,stephanie19@adventure-works.com,0,6968 Mildred Ln.,28/08/2013,10+,USD,70000
11183,368,Jasmine Lee,12/01/1950,S,F,jasmine19@adventure-works.com,0,7502 Contuti Avenue,30/04/2013,10+,USD,70000
11184,311,Meghan Hernandez,13/11/1955,S,F,meghan3@adventure-works.com,0,5872 L St.,10/08/2013,10+,USD,70000
11185,53,Ashley Henderson,7/04/1950,S,F,ashley31@adventure-works.com,0,8834 San Jose Ave.,21/02/2013,10+,USD,70000
11186,352,Sarah Price,18/11/1949,S,F,sarah25@adventure-works.com,0,4815 Paraiso Ct.,18/10/2013,10+,USD,70000
11187,612,Jennifer Cooper,21/08/1949,M,F,jennifer63@adventure-works.com,0,2429 Longview Road,3/04/2013,10+,USD,60000
11188,361,Catherine Morris,6/03/1950,M,F,catherine16@adventure-works.com,0,6542 Stonewood Drive,1/11/2013,1-2,USD,60000
11189,609,Lawrence Blanco,12/01/1950,S,M,lawrence14@adventure-works.com,0,7502 Contuti Avenue,26/08/2011,10+,USD,60000
11190,300,Carson Bryant,20/12/1949,M,M,carson17@adventure-works.com,0,2995 Youngsdale Dr.,28/08/2013,10+,USD,70000
11191,310,Kristi Perez,17/06/1951,S,F,kristi39@adventure-works.com,0,1769 Lislin Ct,11/08/2011,10+,USD,70000
11192,637,James Brown,13/03/1951,M,M,james79@adventure-works.com,0,673 Old Mountain View Dr.,23/06/2013,2-5,USD,60000
11193,553,Ian Gray,13/08/1950,M,M,ian72@adventure-works.com,0,5941 Gill Dr.,25/02/2013,2-5,USD,60000
11194,352,Jacqueline Price,8/12/1950,M,F,jacqueline0@adventure-works.com,0,872 Mark Twain Dr,13/03/2013,2-5,USD,60000
11195,635,Megan Henderson,10/08/1951,M,F,megan55@adventure-works.com,0,8411 Mt. Olivet Place,14/04/2013,10+,USD,60000
11196,536,Alfredo Romero,5/12/1951,M,M,alfredo10@adventure-works.com,0,2499 Greendell Pl,3/03/2013,10+,USD,60000
11197,637,Andrea Morris,16/12/1951,M,F,andrea18@adventure-works.com,1,1883 Green View Court,2/05/2013,1-2,USD,70000
11198,368,Brooke Sanders,25/05/1952,S,F,brooke3@adventure-works.com,1,5192 Dumbarton Drive,5/02/2013,10+,USD,70000
11199,302,Jacqueline Bennett,2/11/1957,M,F,jacqueline1@adventure-works.com,1,8948 Chinquapin Court,18/03/2013,10+,USD,70000
11200,69,Jason Griffin,21/05/1953,M,M,jason18@adventure-works.com,1,7239 Nicholas Drive,7/02/2013,1-2,USD,70000
11201,369,Amanda Foster,14/02/1953,M,F,amanda37@adventure-works.com,1,3984 San Francisco,1/07/2013,10+,USD,70000
11202,334,Alexia Price,22/08/1958,M,F,alexia0@adventure-works.com,0,2079 Wellington Ct,15/09/2013,1-2,USD,80000
11203,60,Luis Diaz,18/08/1959,M,M,luis21@adventure-works.com,1,3682 Diablo View Road,20/02/2013,10+,USD,40000
11204,536,Destiny Rivera,29/11/1953,M,F,destiny33@adventure-works.com,1,6965 Appalachian Drive,9/08/2013,2-5,USD,40000
